,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
0,14385243,Anna,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-04-29 23:44:49,2021-04-21 22:54:19,15,3,Eksperymentuje ciagle nowe przepisy. Czas jaki zajmuje przygotowanie potrawy jest zaskakujący. Jedzenie smaczne nie przesuszone. Frytki dobre zarówno gotowe jak i ze świeżych ziemniaków. Świetny sprzęt. Szczerze polecam jest zachwycona możliwościami.,[],[]
1,15946797,d...4,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-04-11 20:14:29,2022-03-28 16:22:12,0,0,"Rewelacyjny,  szybko piecze produkty, są chrupkie ,dobrze wysmażone. 
Po włączeniu odrazu piecze,nie trzeba czekać aż się nagrzeje jak piekarnik.  Teraz obiady po pracy stały się przyjemnością.","['jakość wykonania', 'pojemność', 'szybkość nagrzewania']",['łatwość czyszczenia']
2,15360036,k...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-12-14 09:42:29,2021-12-03 15:34:29,0,0,"Urządzenie dobrej jakości, naprawdę przydatne w kuchni, dania wychodzą smaczne, a czas przygotowania jest krótszy. Bardzo polecam!","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
3,14390316,Anna,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-04-30 21:16:10,2021-04-18 23:05:21,2,6,"Super produkt. Pyszne jedzenie. Eksperymentuje codziennie z przepisów z aplikacji ovi. Paczki zdrowe, mięso soczyste, frytki smaczne. Szczerze polecam","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
4,14490996,Jarek,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-05-20 23:41:06,2021-05-10 16:56:46,2,1,"Na razie się poznajemy ;) Frytki i kurczak wychodzą super na programie automatycznym. Zajmuje trochę dużo miejsca więc jest to raczej urządzenie stacjonarne. Ogrzewanie strumieniem gorącego powietrza jest bardziej efektywne niż w piekarniku wobec tego, lepiej skrócić czas przygotowania dania jeśli chodzi o czas podany dla piekarnika lub po prostu kontrolować stan podczas używania. Z pewnością będzie często używane zwłaszcza, że nie posiadam piekarnika. Aaaa.. pizza z pudełka niestety nie wchodzi podobnie jak zapiekanka (tą trzeba podzielić na pół) :/","['jakość wykonania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
5,14202358,Użytkownik Ceneo,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-03-30 13:34:30,2021-03-27 13:31:47,0,3,"Intuicyjny w obsłudze, ładnie prezentuje się, duży plus za możliwość czyszczenia w zmywarce","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
6,13884929,k...o,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-02 21:41:02,2021-01-14 16:38:37,3,4,"Super urządzenie,  oprócz  frytek Super nadaje się  do ryb, mięs, owoców morza , również do pogrzewania potraw","['jakość wykonania', 'pojemność', 'szybkość nagrzewania']",[]
7,16449755,n...1,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-08-24 10:13:37,2022-08-04 09:14:37,1,1,"O zakupie Ovi myślałam już dawno, niestety cena mnie trochę odstraszała. Na szczęście rodzinka zrobiła zrzutkę na urodziny i tak to właśnie jestem szczęśliwą posiadaczką. Teraz będę kompletować akcesoria. Do tej pory zdążyłam zrobić kilkukrotnie frytki, podudzia z kurczaka oraz upiec filety do sałatki. Wszystko było chrupiące i pyszne. Zdarzyło się mi odgrzewać krokiety z pieczarkami i serem - lepsze niż świeże - niebo w gębie. Dużym plusem Ovi jest także czas przyrządzania, nie musi się do tego rozgrzewać tak długo jak piekarnik. No cóż, Wszystkim życzę takich prezentów jeśli chodzi o taki drobny sprzęt :)  Liczę na to ze będzie wiernie służył :)","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']",[]
8,16183423,Ewa,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2022-06-08 09:20:11,2022-05-27 12:30:42,0,0,"Bardzo ładnie wykonane urządzenie. Szybko się piecze i nie przypala. Nie wiem do czego odnosi się pojemność 7 litrów,  piekłam sernik z 1 kg sera. To wszystko co się tam zmieści. Ta pojemność może być problemem przy gotowaniu dla dużej liczby osób. Można  upiec 4 kawałki ryby. Plusem jest to, że szybko się nagrzewa i jak potrzeba można upiec drugą porcję. Dużym minusem są drogie akcesoria! Można używać zwykłych foremek do ciasta.  Urządzenie jest głośne, pewnie ze względu na dużą moc. Pomimo tych niedogodności jestem bardzo zadowolona. Nie zamieniłam bym na normalny piekarnik. Mam urządzenie, które jest mniejsze od piekarnika i nieużywane mogę schować. Mogę też zabrać na wakacje.","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'różnorodność potraw', 'szybkość nagrzewania']","['cena', 'drogie akcesoria']"
9,13963493,r...r,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2021-02-16 11:59:47,2021-02-13 16:32:51,3,1,"Super urządzenie bardzo uniwersalne. Szybko się nagrzewa, ma dużą pojemność, równomiernie piecze potrawy, dobrze dobiera czas pieczenia do wagi. Frytki wychodzą przepyszne ze świeżych jak i z mrożonych ziemniaków. Pałki z kurczaka czy też cały kurczak naprawdę bardzo dobrze przypieczony i soczysty w środku. Wypróbowane jeszcze dania to: babeczki, warzywa grilowane, steki mięsne, hotdogi, zapiekanki, pizza, papryka faszerowana, grzanki. Ogólnie warte polecenia urządzenie. Jedyny minus to cena samego urządzenia oraz akcesoriów do niego.","['b.dobry desing', 'efektywność', 'jakość wykonania', 'komfort użytkowania', 'łatwość czyszczenia', 'pojemność', 'szybkość nagrzewania']",[]
